id_prov;Province;id_series;Series;yr1983;yr1984;yr1985;yr1986;yr1987;yr1988;yr1989;yr1990;yr1991;yr1992;yr1993;yr1994;yr1995;yr1996;yr1997;yr1998;yr1999;yr2000;yr2001;yr2002;yr2003;yr2004;yr2005;yr2006;yr2007;yr2008;yr2009;yr2010;yr2011;yr2012;yr2013;yr2014;yr2015;yr2016;yr2017
15;LMP;1;GDP Per Capita, Constant 2010 (IDR Thousand);6076,8;6631,3;6938,8;7427,3;7920,6;8283,0;8709,0;9096,4;9353,8;10278,6;10834,7;11388,3;12332,5;13279,9;13796,8;12806,5;13111,4;13523,5;13831,0;14425,7;15067,9;15638,8;16070,7;16815,9;17563,6;18245,1;18943,1;19788,8;20739,3;21794,8;22770,7;23647,3;24581,8;25571,0;26618,7
16;MAL;1;GDP Per Capita, Constant 2010 (IDR Thousand);6632,5;6976,7;7097,1;7713,2;8435,5;8962,1;9315,1;9937,7;10569,3;10945,8;10995,4;11469,0;12000,8;12572,6;12752,1;11764,1;8740,6;9957,4;9721,5;9654,3;9875,0;10059,2;10316,0;10633,8;10974,9;11267,3;11578,1;12017,3;12477,2;13129,1;13572,1;14219,6;14740,4;15321,1;15941,1
17;NKL;1;GDP Per Capita, Constant 2010 (IDR Thousand);32471,4;35287,5;35701,4;36120,9;36419,2;36707,8;37373,3;38628,8;40109,9;41723,5;42751,2;44879,3;46314,1;48486,0;50062,8;50718,8;52329,9;54053,2;55456,7;56318,1;57287,9;58284,7;59655,5;60862,8;61878,7;63703,1;64786,1;66778,8;69241,7;71693,3;72276,2;76193,4;76823,5;76785,5;78914,5
18;NML;1;GDP Per Capita, Constant 2010 (IDR Thousand);7767,0;8180,4;8325,2;9067,0;9938,5;10575,1;11002,4;11757,1;12523,8;12981,4;13041,8;13617,9;14265,7;14963,1;15182,1;13977,3;10307,3;11818,0;11640,3;11563,6;11652,8;11852,8;12111,8;12431,1;12831,1;13251,7;13705,0;14434,2;15052,4;15754,8;16332,2;16869,5;17533,8;18177,3;19193,0
19;NSA;1;GDP Per Capita, Constant 2010 (IDR Thousand);7745,8;8161,7;8322,6;8668,2;9232,3;10061,8;10797,8;11450,2;12033,0;12748,2;13534,0;14590,5;15724,8;16978,8;17776,4;15690,1;15938,5;16554,8;17181,9;17932,1;18627,4;19440,5;20239,9;21060,3;22228,0;23355,7;24246,2;25503,0;26711,2;28036,9;29339,2;30477,1;31637,4;32885,1;34183,6
20;NSI;1;GDP Per Capita, Constant 2010 (IDR Thousand);6863,6;6858,7;6986,9;7129,9;7409,0;7813,0;8141,9;8791,4;9459,5;10171,0;11007,2;11683,6;12518,1;13507,1;14055,0;13536,1;14097,7;14905,0;15029,0;15334,7;15628,3;16094,4;16750,8;17497,2;18409,0;20170,5;21502,4;22778,7;23813,0;25146,0;26445,9;27805,5;29196,5;30682,6;32301,7
21;PAP;1;GDP Per Capita, Constant 2010 (IDR Thousand);26210,3;23548,0;22338,0;22926,7;22945,9;24197,4;25866,6;27024,0;29963,4;31487,1;32131,1;33397,5;39125,8;42824,1;44577,0;48758,4;45550,9;45606,0;46661,2;55178,6;52607,0;38643,2;49980,5;39273,8;38871,6;36366,1;42175,7;38785,1;36383,2;36280,0;38621,4;39271,9;41377,0;44340,9;45578,7
22;RIS;1;GDP Per Capita, Constant 2010 (IDR Thousand);82934,8;59964,8;49380,2;58291,2;67464,8;66505,4;67328,1;73349,4;68145,6;77409,2;68038,6;69365,8;71597,2;73468,6;73449,4;62461,5;62005,4;67702,2;67471,2;66476,4;60268,4;61314,7;62558,4;63409,3;64630,3;65664,9;64798,2;66237,5;68024,2;70930,0;73743,3;76313,8;78625,4;80330,5;79799,7
23;RIU;1;GDP Per Capita, Constant 2010 (IDR Thousand);75576,4;65335,6;59879,8;64510,5;68885,8;68444,2;68823,1;71521,6;69197,0;73272,6;69148,3;69750,7;70749,3;71573,7;71565,3;66543,3;66324,7;68994,6;68888,8;68430,9;67907,9;65652,5;67675,8;66145,2;66680,3;68711,1;69050,5;70161,2;71637,9;72396,3;72297,1;72390,9;70769,8;70604,4;70806,0
24;SEI;1;GDP Per Capita, Constant 2010 (IDR Thousand);7968,2;8416,0;8439,1;8908,5;9053,3;9516,7;10142,4;11050,6;11827,2;11998,9;12346,4;12727,7;13308,5;13623,3;13924,2;12737,6;12684,4;13168,4;13522,8;14112,2;14859,4;15644,4;16447,1;17358,0;18375,1;19334,8;20408,4;21679,4;23338,1;25489,8;26815,4;27896,1;29202,7;30477,2;31908,6
25;SKL;1;GDP Per Capita, Constant 2010 (IDR Thousand);9179,4;9487,3;9473,8;9471,2;10002,3;10549,8;11004,4;11489,3;12046,8;12820,6;13727,6;14607,3;15615,6;17061,9;17729,5;16645,3;16806,5;17426,4;17768,5;18063,8;18473,4;19019,1;19593,3;20177,4;20990,9;21934,2;22677,9;23521,9;24567,5;25547,8;26423,9;27220,3;27786,7;28538,6;29580,1
26;SSA;1;GDP Per Capita, Constant 2010 (IDR Thousand);13637,3;14824,0;15122,7;15331,0;14846,7;15268,2;15952,4;15394,4;15562,2;15934,6;16339,1;17120,7;18186,0;19203,1;19757,3;18011,3;18166,1;18193,5;18494,9;18915,5;19457,9;20202,2;21016,4;21941,0;23046,0;24033,4;24835,2;26040,6;27158,0;28577,9;29656,8;30636,3;31549,3;32699,1;34056,5
27;SSI;1;GDP Per Capita, Constant 2010 (IDR Thousand);6064,0;6248,2;6622,6;7141,6;7296,8;7913,7;8307,1;8742,1;9426,8;10002,2;10612,9;11258,4;12013,3;12869,9;13278,6;12437,6;12654,6;13070,0;13614,3;14073,8;14655,8;15298,9;16082,3;16966,6;17839,0;19100,0;20018,7;21374,7;22769,2;24507,2;26083,4;27749,5;29435,9;31305,1;33245,0
28;WJA;1;GDP Per Capita, Constant 2010 (IDR Thousand);8753,1;10028,1;10403,9;10838,6;11009,7;11625,6;12286,8;13006,2;13740,1;14443,1;15176,2;15994,0;17044,7;18255,9;18831,1;15234,2;15299,2;15431,3;15579,3;15802,6;16167,8;16608,5;17294,3;17983,7;18825,7;19662,1;20152,1;21059,4;21976,5;23036,0;24118,3;24966,9;25845,5;26921,6;27956,2
29;WKL;1;GDP Per Capita, Constant 2010 (IDR Thousand);6379,5;6566,8;6843,3;7650,5;8137,4;9226,0;9408,0;9843,0;10178,7;10639,2;11148,4;11718,7;12604,9;13599,1;14315,7;13360,4;13445,9;13631,6;13874,0;14377,9;14696,8;15267,5;15701,6;16381,5;17221,9;18009,2;18717,7;19578,3;20227,2;21062,2;21971,9;22712,7;23456,5;24310,9;25201,6
30;WNT;1;GDP Per Capita, Constant 2010 (IDR Thousand);4517,7;4898,7;4949,2;5140,0;5189,8;5402,7;5759,6;6140,6;6472,0;6896,2;7136,1;7519,6;7982,7;8483,0;8779,2;8314,7;8382,1;10623,9;11263,9;11519,8;11828,2;12400,2;12467,0;12665,7;13137,1;13357,6;14813,5;15582,1;14705,8;14276,7;14809,8;15369,9;18475,1;19308,5;19098,7
31;WPA;1;GDP Per Capita, Constant 2010 (IDR Thousand);12446,2;13245,3;14015,5;14708,3;15476,2;16195,1;16923,2;17726,7;18452,7;19316,9;20284,1;21258,5;22001,6;22933,8;24031,8;25051,8;26551,1;27936,3;29326,9;31601,1;32934,2;34266,2;35492,8;36020,8;37425,9;39242,5;43480,7;54393,1;54539,8;55047,9;57581,3;59142,6;60064,1;61242,0;62168,7
32;WSA;1;GDP Per Capita, Constant 2010 (IDR Thousand);7363,3;7634,6;7833,3;8096,1;8383,5;8791,2;9273,4;9761,7;10314,0;10936,2;11622,0;12411,7;13438,6;14409,7;15060,0;13998,6;14102,0;14557,8;14995,1;15420,0;16010,7;16492,9;17227,8;18155,6;19056,7;20106,8;20705,6;21667,0;22638,8;23744,0;24857,6;25982,8;27080,8;28164,9;29308,3
33;WSI;1;GDP Per Capita, Constant 2010 (IDR Thousand);4234,4;4361,3;4619,1;4976,0;5082,7;5506,5;5776,5;6074,8;6544,1;6938,0;7355,8;7797,1;8312,7;8897,3;9176,0;8602,3;8750,4;9033,7;9404,9;9718,0;10114,4;10552,2;11094,6;11532,3;12055,3;13156,5;13593,1;14830,9;16023,4;17169,1;18008,8;19232,0;20250,5;21067,9;22060,7
34;YOG;1;GDP Per Capita, Constant 2010 (IDR Thousand);7116,4;7495,0;7546,7;8074,1;8343,6;8781,5;9266,8;9622,9;10050,4;10671,4;11212,1;12036,6;12906,9;13817,1;14206,4;12518,0;12844,5;13270,1;13688,6;14154,0;14648,7;15239,8;15798,7;16217,2;16747,2;17416,5;18010,6;18706,9;19387,4;20183,9;21037,7;21867,9;22688,4;23566,3;24533,9
